"0x1C13CC","SRC-MIN A/C refrigerant pressure voltage","ACCD_uSRCMin_C"
"0x1C13CE","SRC-MAX A/C refrigerant pressure voltage","ACCD_uSRCMax_C"
"0x1C13DA","linearization of analog AC pressure","ACCD_pAnaLin_CUR"
"0x1C140C","Defect debounce time for Non-Plausible CAN Msg. error.","ACCD_DebNplDef_C"
"0x1C140E","Intact  debounce time for CAN Msg. Non-Plausible error.","ACCD_DebNplOK_C"
"0x1C1410","debounce time (error) for CAN signal defect","ACCD_DebSigDef_C"
"0x1C1412","debounce time (healing) for CAN singal defect","ACCD_DebSigOk_C"
"0x1C13E2","error debounce SRCHigh","ACCD_DebSRCHighDef_C"
"0x1C13E4","healing debounce SRC-High","ACCD_DebSRCHighOk_C"
"0x1C13E6","error debounce SRCLow","ACCD_DebSRCLowDef_C"
"0x1C13E8","healing debounce SRCLow","ACCD_DebSRCLowOk_C"
"0x1C1414","debounce time for negative edge of main AC switch","ACCD_tiMnSwtDebNeg_C"
"0x1C1416","debounce time for positive edge of main AC switch","ACCD_tiMnSwtDebPos_C"
"0x1C13EA","application parameter for AC fluid pressure sensor","ACCD_numAdc_C"
"0x1C1418","application parameter for AC main switch","ACCD_numDioIn_C"
"0x1C13EC","Higher threshold of AC over pressure hysteresis","ACCD_pOverXHigh_C"
"0x1C13EE","Lower threshold of AC over pressure hysteresis","ACCD_pOverXLow_C"
"0x1C13F0","Debounce time for neg. edge of I_S_AcStPM","ACCD_tiPresMechDebNeg_C"
"0x1C13F2","Debounce time for positive edge of I_S_AcStPM","ACCD_tiPresMechDebPos_C"
"0x1C13F4","Timeconstant for filtering AC pressure","ACCD_tiPresPT1_C"
"0x1C13F8","Higher threshold of AC under pressure hysteresis","ACCD_pUnderXHigh_C"
"0x1C13FA","Lower threshold of AC under pressure hysteresis","ACCD_pUnderXLow_C"
"0x1C13FC","Ramp slope up of AC pressure","ACCD_dpRmpSlpUp_C"
"0x1C1400","Ramp slope down of AC pressure","ACCD_dpRmpSlpDwn_C"
"0x1C1419","Default value for AC present, in case of DSM errors.","ACCD_stDflVal_C"
"0x1C1404","Parameter to invert the mechanical sensor input","ACCD_stInvPar_C"
